English,Chinese Transliteration
Band / Bend,"丙, 品, 扁"
Bay,"比, 庇, 吡, 卑"
Bourg or Burg,"僕, 卜"
Bridge,"卑列治, 必珠, 布列珠, 步列珠"
Centre,"先打, 仙打"
Charles,"搾李市, 渣李市"
City,"失地, 矢地, 雪地, 舌地"
Creek,"枯瀝, 架利, 隙, 古力, 姬力, 咕力, 格利, 自利"
East,於市
Falls,"科路, 伙路"
Field,"啡路, 斐, 啡"
Ford,"佛, 咈"
Fork,福
Fort,"伙, 闊, 科, 火"
Gate,吉
Grand,故粦
Green,"故連, 哥連, 企連, 企粦"
Grove,古路
Harbor,下巴
Hat,血
High,體
Hill,"喜路, 靴, 喜利"
House,好士
Indian,茵陈
Inlet,顚列
Island,"埃崙, 底崙, 矮倫"
Lake,"瀝, 力"
Land,崙
Mine,米
Mountain,網頓
New,"紐, 弩"
North,那士
Park,栢
Pass,怕市
Point,泮
Port,"砵, 本, 判"
Prairie ,怕黎
River,"利罷, 李巴, 笠罷, 笠巴"
Saint,"勝, 先"
San,山
Santa,"山打, 山地, 先地, 新地"
South,筲士
Spring,"士丙令, 市丙令, 市比令, 市比冷, 士丙鈴"
Stone,市頓
Town,"倉, 創, 黨"
Upper,鴨巴
Valley,"嘩利, 和利, 華厘"
View,夭右
Ville,"委利, 威利, 允"
Water,窩打
West,"委市, 和市"
Wood,鬱